Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,1610.000000,1610.000000,1513.000000,1522.900024,1500.048706,84120
2019-10-01,1527.000000,1549.800049,1497.000000,1507.599976,1484.978149,46399
2019-10-03,1510.000000,1599.000000,1500.000000,1591.349976,1567.471436,79746
2019-10-04,1615.000000,1624.000000,1585.000000,1597.849976,1573.874023,63820
2019-10-07,1592.250000,1615.900024,1570.250000,1603.150024,1579.094604,37380
2019-10-09,1605.150024,1620.000000,1563.300049,1577.699951,1554.026367,33464
2019-10-10,1578.000000,1590.349976,1525.550049,1529.849976,1506.894287,38163
2019-10-11,1537.500000,1570.000000,1531.000000,1559.449951,1536.050171,77733
2019-10-14,1559.750000,1569.000000,1530.000000,1541.349976,1518.221802,62961
2019-10-15,1550.000000,1563.550049,1532.849976,1548.449951,1525.215210,33878
2019-10-16,1555.000000,1564.000000,1540.500000,1543.550049,1520.388916,55807
2019-10-17,1559.949951,1599.949951,1548.150024,1593.300049,1569.392334,47391
2019-10-18,1595.000000,1658.000000,1577.000000,1639.150024,1614.554321,108741
2019-10-22,1600.000000,1603.300049,1321.000000,1475.050049,1452.916626,361675
2019-10-23,1478.000000,1518.000000,1478.000000,1501.849976,1479.314453,322227
2019-10-24,1509.000000,1516.800049,1443.750000,1456.550049,1434.694336,228700
2019-10-25,1457.849976,1468.400024,1444.099976,1460.349976,1438.437134,111259
2019-10-27,null,null,null,null,null,null
2019-10-29,1490.000000,1497.949951,1465.199951,1483.900024,1461.633911,60898
2019-10-30,1486.099976,1515.000000,1475.300049,1502.650024,1487.621338,91889
2019-10-31,1508.000000,1509.650024,1488.000000,1503.650024,1488.611328,95470
2019-11-01,1502.900024,1511.000000,1492.550049,1505.800049,1490.739868,65540
2019-11-04,1510.000000,1515.000000,1498.000000,1500.849976,1485.839233,98881
2019-11-05,1502.000000,1510.000000,1489.650024,1501.050049,1486.037354,125081
2019-11-06,1502.900024,1510.750000,1445.000000,1452.800049,1438.269897,137922
2019-11-07,1460.000000,1476.900024,1453.000000,1463.849976,1449.209351,62297
2019-11-08,1466.000000,1474.050049,1447.000000,1454.650024,1440.101318,71132
2019-11-11,1455.099976,1469.000000,1441.050049,1447.750000,1433.270386,43105
2019-11-13,1450.050049,1460.000000,1425.000000,1429.349976,1415.054321,100460
2019-11-14,1438.949951,1449.849976,1395.000000,1413.099976,1398.966919,139271
2019-11-15,1414.500000,1432.000000,1414.000000,1421.800049,1407.579956,78624
2019-11-18,1423.000000,1435.900024,1398.000000,1430.300049,1415.994873,156090
2019-11-19,1437.500000,1437.500000,1414.500000,1419.050049,1404.857422,198532
2019-11-20,1427.000000,1448.000000,1411.099976,1437.000000,1422.627930,120332
2019-11-21,1447.500000,1450.000000,1421.500000,1441.000000,1426.587891,133262
2019-11-22,1450.000000,1489.800049,1446.050049,1468.449951,1453.763306,110942
2019-11-25,1484.000000,1486.750000,1472.000000,1478.699951,1463.910767,70952
2019-11-26,1479.000000,1484.000000,1448.000000,1454.250000,1439.705322,149623
2019-11-27,1454.000000,1481.000000,1449.000000,1465.750000,1451.090332,32805
2019-11-28,1465.000000,1477.000000,1456.849976,1470.849976,1456.139282,22331
2019-11-29,1463.900024,1499.000000,1459.000000,1490.750000,1475.840332,63728
2019-12-02,1510.000000,1518.000000,1468.000000,1471.949951,1457.228271,121429
2019-12-03,1482.949951,1482.949951,1450.000000,1463.449951,1448.813232,74732
2019-12-04,1464.949951,1486.300049,1450.000000,1482.500000,1467.672852,111270
2019-12-05,1491.949951,1510.000000,1469.750000,1488.199951,1473.315796,428948
2019-12-06,1497.800049,1519.000000,1468.949951,1510.599976,1495.491699,76118
2019-12-09,1514.000000,1527.949951,1482.050049,1500.599976,1485.591797,100621
2019-12-10,1500.599976,1506.300049,1465.099976,1480.849976,1466.039307,54237
2019-12-11,1470.150024,1503.000000,1470.150024,1495.050049,1480.097290,62441
2019-12-12,1500.199951,1510.000000,1466.000000,1502.500000,1487.472778,97851
2019-12-13,1502.000000,1526.000000,1497.000000,1520.449951,1505.243164,74209
2019-12-16,1527.949951,1529.900024,1503.500000,1516.849976,1501.679199,180842
2019-12-17,1516.849976,1523.900024,1486.349976,1499.099976,1484.106812,76729
2019-12-18,1513.949951,1513.949951,1490.050049,1498.150024,1483.166260,87798
2019-12-19,1498.150024,1516.550049,1489.050049,1492.949951,1478.018188,67536
2019-12-20,1493.000000,1498.949951,1464.099976,1468.650024,1453.961304,86979
2019-12-23,1476.000000,1499.800049,1464.849976,1469.199951,1454.505737,84497
2019-12-24,1469.199951,1505.000000,1468.800049,1478.250000,1463.465332,118178
2019-12-26,1500.000000,1500.000000,1477.050049,1485.500000,1470.642822,174683
2019-12-27,1490.000000,1493.250000,1470.099976,1478.949951,1464.158203,89120
2019-12-30,1479.949951,1488.949951,1470.000000,1479.650024,1464.851318,114655
2019-12-31,1476.000000,1489.000000,1460.500000,1468.449951,1453.763306,72244
2020-01-01,1475.000000,1500.750000,1470.000000,1493.800049,1478.859863,81809
2020-01-02,1483.000000,1525.000000,1483.000000,1513.199951,1498.065674,69666
2020-01-03,1519.949951,1524.949951,1502.849976,1510.599976,1495.491699,41244
2020-01-06,1509.900024,1521.000000,1477.050049,1509.550049,1494.452271,59718
2020-01-07,1510.349976,1524.000000,1493.750000,1516.349976,1501.184204,57942
2020-01-08,1503.500000,1554.800049,1498.099976,1537.750000,1522.370239,112220
2020-01-09,1545.000000,1555.949951,1536.699951,1551.400024,1535.883667,74313
2020-01-10,1554.900024,1578.000000,1545.599976,1560.900024,1545.288696,55261
2020-01-13,1569.900024,1575.000000,1552.400024,1562.349976,1546.724121,84927
2020-01-14,1562.349976,1595.000000,1554.949951,1589.849976,1573.949097,65177
2020-01-15,1588.800049,1625.000000,1582.000000,1601.449951,1585.433105,102724
2020-01-16,1606.000000,1666.000000,1606.000000,1655.650024,1639.091064,189001
2020-01-17,1662.000000,1673.900024,1623.300049,1642.650024,1626.221069,115600
2020-01-20,1642.000000,1644.000000,1605.099976,1627.800049,1611.519653,180467
2020-01-21,1624.000000,1630.000000,1606.849976,1626.099976,1609.836548,123496
2020-01-22,1625.000000,1650.800049,1621.199951,1633.050049,1616.717163,47182
2020-01-23,1630.000000,1748.000000,1630.000000,1724.550049,1707.302002,296507
2020-01-24,1724.550049,1739.000000,1696.250000,1734.300049,1716.954468,80890
2020-01-27,1711.000000,1780.000000,1711.000000,1739.150024,1721.755981,105045
2020-01-28,1739.000000,1767.000000,1670.750000,1693.300049,1676.364502,103398
2020-01-29,1718.849976,1749.000000,1705.300049,1728.849976,1711.558960,73418
2020-01-30,1729.949951,1741.000000,1681.000000,1689.150024,1672.255981,49040
2020-01-31,1690.000000,1697.949951,1651.099976,1679.250000,1662.454956,39962
2020-02-03,1636.000000,1693.500000,1628.050049,1640.900024,1624.488647,186441
2020-02-04,1648.000000,1714.900024,1635.300049,1699.849976,1682.848999,155685
2020-02-05,1691.099976,1714.949951,1680.000000,1695.000000,1678.047485,208326
2020-02-06,1687.000000,1708.750000,1660.000000,1672.199951,1655.475464,178931
2020-02-07,1668.199951,1695.000000,1658.000000,1687.849976,1670.968994,73168
2020-02-10,1699.000000,1705.000000,1671.099976,1683.150024,1666.316040,169682
2020-02-11,1695.000000,1705.000000,1674.099976,1696.699951,1679.730469,64164
2020-02-12,1700.000000,1707.000000,1682.500000,1685.949951,1669.088013,49645
2020-02-13,1699.800049,1699.800049,1665.650024,1682.000000,1665.177490,39138
2020-02-14,1697.000000,1697.000000,1670.000000,1673.849976,1657.109009,35005
2020-02-17,1670.000000,1744.000000,1670.000000,1712.000000,1694.877441,131252
2020-02-18,1713.000000,1730.000000,1665.000000,1690.750000,1673.839966,59519
2020-02-19,1690.000000,1744.000000,1690.000000,1729.349976,1712.053955,148419
2020-02-20,1742.000000,1751.000000,1724.199951,1743.000000,1725.567383,63353
2020-02-24,1745.099976,1778.000000,1700.000000,1711.900024,1694.778442,97590
2020-02-25,1705.000000,1725.000000,1678.000000,1684.500000,1667.652466,61270
2020-02-26,1683.000000,1709.000000,1673.000000,1680.000000,1663.197510,89708
2020-02-27,1679.949951,1688.500000,1661.300049,1674.849976,1658.098999,70451
2020-02-28,1653.000000,1668.199951,1576.300049,1620.849976,1604.639038,152354
2020-03-02,1644.349976,1691.699951,1619.750000,1657.699951,1641.120483,74645
2020-03-03,1672.150024,1708.949951,1619.949951,1675.599976,1658.841553,134954
2020-03-04,1670.000000,1678.300049,1635.150024,1648.900024,1632.408569,54181
2020-03-05,1663.000000,1665.250000,1621.500000,1638.500000,1622.112549,49153
2020-03-06,1620.000000,1669.000000,1576.650024,1651.300049,1634.784546,69486
2020-03-09,1620.000000,1633.650024,1520.000000,1528.750000,1513.460205,135352
2020-03-11,1549.349976,1560.000000,1503.550049,1535.500000,1520.142700,62857
2020-03-12,1490.550049,1499.349976,1352.949951,1416.099976,1401.936890,108161
2020-03-13,1253.250000,1445.000000,1132.900024,1411.949951,1397.828369,120547
2020-03-16,1409.800049,1409.800049,1252.000000,1272.599976,1259.872070,131047
2020-03-17,1258.000000,1280.099976,1206.050049,1236.050049,1223.687744,131870
2020-03-18,1260.000000,1274.800049,1111.000000,1155.199951,1143.646240,118477
2020-03-19,1075.550049,1249.000000,1041.050049,1188.099976,1176.217163,176489
2020-03-20,1212.000000,1269.000000,1155.050049,1233.849976,1221.509644,147417
2020-03-23,1050.000000,1149.949951,995.000000,1018.250000,1008.065979,84748
2020-03-24,1031.050049,1195.000000,1026.349976,1153.349976,1141.814819,129924
2020-03-25,1103.000000,1179.000000,1103.000000,1160.449951,1148.843750,147901
2020-03-26,1189.000000,1189.000000,1070.000000,1100.250000,1089.245850,206225
2020-03-27,1120.000000,1200.000000,1060.150024,1174.900024,1163.149292,203775
2020-03-30,1141.000000,1185.000000,1096.750000,1173.599976,1161.862183,131422
2020-03-31,1175.000000,1185.000000,1129.250000,1161.250000,1149.635742,173325
2020-04-01,1170.250000,1235.000000,1109.000000,1181.099976,1169.287231,309547
2020-04-03,1181.099976,1181.099976,1085.000000,1107.599976,1096.522339,345961
2020-04-07,1148.000000,1149.550049,1097.050049,1108.750000,1097.660889,247159
2020-04-08,1116.949951,1147.949951,1100.000000,1104.500000,1093.453369,89214
2020-04-09,1130.000000,1193.000000,1115.000000,1173.849976,1162.109741,181798
2020-04-13,1195.000000,1195.000000,1125.000000,1155.849976,1144.289795,97383
2020-04-15,1200.000000,1240.000000,1158.000000,1214.849976,1202.699707,144427
2020-04-16,1207.500000,1235.000000,1194.750000,1225.300049,1213.045288,115869
2020-04-17,1242.000000,1270.000000,1215.099976,1260.150024,1247.546631,103971
2020-04-20,1270.000000,1295.000000,1253.349976,1274.949951,1262.198608,298622
2020-04-21,1261.000000,1261.000000,1205.099976,1214.500000,1202.353149,97178
2020-04-22,1220.000000,1224.699951,1170.050049,1178.599976,1166.812256,168575
2020-04-23,1178.599976,1188.400024,1148.599976,1158.849976,1147.259766,140573
2020-04-24,1160.000000,1167.449951,1142.000000,1155.300049,1143.745361,131299
2020-04-27,1175.250000,1192.000000,1152.849976,1176.550049,1164.782837,105337
2020-04-28,1188.949951,1190.550049,1137.000000,1153.750000,1142.210815,96508
2020-04-29,1151.050049,1184.050049,1147.050049,1161.550049,1149.932861,117670
2020-04-30,1185.000000,1253.599976,1161.099976,1235.250000,1222.895630,327649
2020-05-04,1200.000000,1210.000000,1168.050049,1185.750000,1173.890747,67529
2020-05-05,1204.000000,1215.650024,1174.099976,1176.199951,1164.436157,46069
2020-05-06,1192.000000,1214.000000,1176.500000,1189.250000,1177.355713,51164
2020-05-07,1190.000000,1208.800049,1162.199951,1185.500000,1173.643188,107123
2020-05-08,1198.000000,1206.949951,1162.099976,1167.400024,1155.724243,80776
2020-05-11,1172.099976,1201.000000,1172.099976,1179.500000,1167.703247,91214
2020-05-12,1179.000000,1179.000000,1125.000000,1128.849976,1117.559814,152859
2020-05-13,1159.699951,1159.699951,1098.000000,1101.199951,1090.186279,216823
2020-05-14,1101.199951,1123.849976,1090.300049,1113.949951,1102.808838,117960
