Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,1625.000000,1650.800049,1621.199951,1633.050049,1609.724243,47182
2020-01-23,1630.000000,1748.000000,1630.000000,1724.550049,1699.917236,296507
2020-01-24,1724.550049,1739.000000,1696.250000,1734.300049,1709.527954,80890
2020-01-27,1711.000000,1780.000000,1711.000000,1739.150024,1714.308716,105045
2020-01-28,1739.000000,1767.000000,1670.750000,1693.300049,1669.113525,103398
2020-01-29,1718.849976,1749.000000,1705.300049,1728.849976,1704.155762,73418
2020-01-30,1729.949951,1741.000000,1681.000000,1689.150024,1665.022827,49040
2020-01-31,1690.000000,1697.949951,1651.099976,1679.250000,1655.264160,39962
2020-02-03,1636.000000,1693.500000,1628.050049,1640.900024,1617.462158,186441
2020-02-04,1648.000000,1714.900024,1635.300049,1699.849976,1675.570068,155685
2020-02-05,1691.099976,1714.949951,1680.000000,1695.000000,1670.789307,208326
2020-02-06,1687.000000,1708.750000,1660.000000,1672.199951,1648.314941,178931
2020-02-07,1668.199951,1695.000000,1658.000000,1687.849976,1663.741455,73168
2020-02-10,1699.000000,1705.000000,1671.099976,1683.150024,1659.108521,169682
2020-02-11,1695.000000,1705.000000,1674.099976,1696.699951,1672.464966,64164
2020-02-12,1700.000000,1707.000000,1682.500000,1685.949951,1661.868530,49645
2020-02-13,1699.800049,1699.800049,1665.650024,1682.000000,1657.974976,39138
2020-02-14,1697.000000,1697.000000,1670.000000,1673.849976,1649.941406,35005
2020-02-17,1670.000000,1744.000000,1670.000000,1712.000000,1687.546387,131252
2020-02-18,1713.000000,1730.000000,1665.000000,1690.750000,1666.599976,59519
2020-02-19,1690.000000,1744.000000,1690.000000,1729.349976,1704.648682,148419
2020-02-20,1742.000000,1751.000000,1724.199951,1743.000000,1718.103638,63353
2020-02-24,1745.099976,1778.000000,1700.000000,1711.900024,1687.447876,97590
2020-02-25,1705.000000,1725.000000,1678.000000,1684.500000,1660.439209,61270
2020-02-26,1683.000000,1709.000000,1673.000000,1680.000000,1656.003540,89708
2020-02-27,1679.949951,1688.500000,1661.300049,1674.849976,1650.927124,70451
2020-02-28,1653.000000,1668.199951,1576.300049,1620.849976,1597.698364,152354
2020-03-02,1644.349976,1691.699951,1619.750000,1657.699951,1634.021973,74645
2020-03-03,1672.150024,1708.949951,1619.949951,1675.599976,1651.666382,134954
2020-03-04,1670.000000,1678.300049,1635.150024,1648.900024,1625.347778,54181
2020-03-05,1663.000000,1665.250000,1621.500000,1638.500000,1615.096313,49153
2020-03-06,1620.000000,1669.000000,1576.650024,1651.300049,1627.713501,69486
